,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
35,Data Scientist,"$94,637 /yr (est.)",4.0,"BAE Systems
4.0","Sterling, VA",10000+ Employees,1999,Company - Public,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense
36,Data Scientist 1 Remote,"$84,739 /yr (est.)",3.8,"Baylor Scott & White Health
3.8",Remote,10000+ Employees,1903,Company - Private,Health Care Services & Hospitals,Healthcare,Healthcare
37,Data Scientist,-1,4.1,"Cresta
4.1",Remote,51 to 200 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Information Technology
38,Junior Data Scientist,-1,3.3,"Choice Fitness
3.3","Atlanta, GA",Unknown,-1,Company - Public,Beauty & Wellness,Personal Consumer Services,Personal Consumer Services
39,Data Scientist,"$102,826 /yr (est.)",4.2,"Lightsource BP
4.2","Denver, CO",501 to 1000 Employees,2010,Company - Private,Energy & Utilities,"Energy, Mining & Utilities","Energy, Mining & Utilities"
40,Data Scientist,$38.80 /hr (est.),3.9,"UCLA Health
3.9","Los Angeles, CA",5001 to 10000 Employees,1919,Company - Public,Health Care Services & Hospitals,Healthcare,Healthcare
41,Data Scientist,"$175,000 /yr (est.)",5.0,"Chapter
5.0","New York, NY",51 to 200 Employees,2020,Company - Private,Internet & Web Services,Information Technology,Information Technology
42,Data Scientist - Hybrid,"$110,295 /yr (est.)",3.9,"Spear Education
3.9","Scottsdale, AZ",201 to 500 Employees,2008,Company - Private,Education & Training Services,Education,Education
43,Data Scientist,"$105,000 /yr (est.)",3.8,"Ascend Analytics, LLC
3.8","Boulder, CO",51 to 200 Employees,2003,Company - Private,Computer Hardware Development,Information Technology,Information Technology
44,Genomics Data Scientist,"$112,500 /yr (est.)",3.1,"Avellino Lab USA Inc
3.1",Remote,51 to 200 Employees,2012,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Pharmaceutical & Biotechnology
45,Data Scientist,-1,-1,HustleWing,New York State,-1,-1,-1,-1,-1,-1
