Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,salary,company_text,job_state,age
Data Scientist - Hybrid,"$110,295 /yr (est.)",3.9,"Spear Education
3.9","Scottsdale, AZ",201 to 500 Employees,2008,Company - Private,Education & Training Services,Education,Education,110295.0,Spear Educatio, AZ,15
Data Scientist,"$105,000 /yr (est.)",3.8,"Ascend Analytics, LLC
3.8","Boulder, CO",51 to 200 Employees,2003,Company - Private,Computer Hardware Development,Information Technology,Information Technology,105000.0,"Ascend Analytics, LL", CO,20
Genomics Data Scientist,"$112,500 /yr (est.)",3.1,"Avellino Lab USA Inc
3.1",Remote,51 to 200 Employees,2012,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Pharmaceutical & Biotechnology,112500.0,Avellino Lab USA In,Remote,11
Data Scientist/Data Analyst,"$80,000 /yr (est.)",3.6,"Holman
3.6","Mount Laurel, NJ",5001 to 10000 Employees,1924,Company - Private,Vehicle Dealers,Retail & Wholesale,Retail & Wholesale,80000.0,Holma, NJ,99
Data Scientist,"$105,000 /yr (est.)",3.0,"REVOLVE
3.0","Cerritos, CA",1001 to 5000 Employees,2003,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,Retail & Wholesale,105000.0,REVOLV, CA,20
USARPAC Data Scientist (Data Scientist 1)- 15568,"$95,507 /yr (est.)",3.6,"HII
3.6","Fort Shafter, HI",10000+ Employees,2011,Company - Public,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense,95507.0,HI, HI,12
Data Scientist,"$91,500 /yr (est.)",3.9,"Vetro Tech Inc
3.9","Seattle, WA",Unknown,-1,Company - Public,Staffing & Subcontracting,Human Resources & Staffing,Human Resources & Staffing,91500.0,Vetro Tech In, WA,-1
Data Scientist,"$142,045 /yr (est.)",4.2,"US United States Army Futures Command
4.2","Fort Detrick, MD",10000+ Employees,-1,Government,National Agencies,Government & Public Administration,Government & Public Administration,142045.0,US United States Army Futures Comman, MD,-1
Data Scientist,$33.25 /hr (est.),3.9,"Parsons
3.9",Remote,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,Information Technology,33.25,Parson,Remote,79
Data Scientist,"$107,815 /yr (est.)",3.2,"Transportation Impact
3.2","Emerald Isle, NC",51 to 200 Employees,2008,Company - Private,Shipping & Trucking,Transportation & Logistics,Transportation & Logistics,107815.0,Transportation Impac, NC,15
Data Scientist,"$98,556 /yr (est.)",4.0,"AG Grace Inc
4.0","Fort Gordon, GA",51 to 200 Employees,-1,Company - Private,-1,-1,-1,98556.0,AG Grace In, GA,-1
Jr. Data Scientist,"$109,078 /yr (est.)",3.5,"Kyla
3.5","San Jose, CA",1 to 50 Employees,-1,Company - Private,-1,-1,-1,109078.0,Kyl, CA,-1
Data Scientist,"$108,074 /yr (est.)",4.5,"Colsh Consultants
4.5","Richfield, MN",Unknown,2005,Unknown,Information Technology Support Services,Information Technology,Information Technology,108074.0,Colsh Consultant, MN,18
Biological Data Scientist,"$103,335 /yr (est.)",4.0,"University of California San Francisco
4.0","San Francisco, CA",10000+ Employees,1864,College / University,Colleges & Universities,Education,Education,103335.0,University of California San Francisc, CA,159
Data Scientist,"$175,000 /yr (est.)",4.3,"Neuberger Berman
4.3","New York, NY",1001 to 5000 Employees,1939,Company - Public,Investment & Asset Management,Financial Services,Financial Services,175000.0,Neuberger Berma, NY,84
Analyst - Data Science,"$80,000 /yr (est.)",4.2,"Amex
4.2","New York, NY",10000+ Employees,1850,Company - Public,Financial Transaction Processing,Financial Services,Financial Services,80000.0,Ame, NY,173
Jr. Data Scientist,"$109,078 /yr (est.)",3.5,"Kyla
3.5","San Jose, CA",1 to 50 Employees,-1,Company - Private,-1,-1,-1,109078.0,Kyl, CA,-1
Data Scientist,"$142,045 /yr (est.)",4.2,"US United States Army Futures Command
4.2","Fort Detrick, MD",10000+ Employees,-1,Government,National Agencies,Government & Public Administration,Government & Public Administration,142045.0,US United States Army Futures Comman, MD,-1
Data Scientist,"$107,815 /yr (est.)",3.2,"Transportation Impact
3.2","Emerald Isle, NC",51 to 200 Employees,2008,Company - Private,Shipping & Trucking,Transportation & Logistics,Transportation & Logistics,107815.0,Transportation Impac, NC,15
